file_name,dm_name,lm_name,count
patch_im0/train_A_IMG_135_128_1.jpg,patch_dm0/train_A_GT_IMG_135_128_1.npy,patch_lm0/train_A_GT_IMG_135_128_1.npy,76
patch_im1/train_A_IMG_135_128_2.jpg,patch_dm1/train_A_GT_IMG_135_128_2.npy,patch_lm1/train_A_GT_IMG_135_128_2.npy,90
patch_im2/train_A_IMG_135_128_3.jpg,patch_dm2/train_A_GT_IMG_135_128_3.npy,patch_lm2/train_A_GT_IMG_135_128_3.npy,92
patch_im3/train_A_IMG_135_128_4.jpg,patch_dm3/train_A_GT_IMG_135_128_4.npy,patch_lm3/train_A_GT_IMG_135_128_4.npy,26
patch_im4/train_A_IMG_135_128_5.jpg,patch_dm4/train_A_GT_IMG_135_128_5.npy,patch_lm4/train_A_GT_IMG_135_128_5.npy,21
patch_im5/train_A_IMG_135_128_6.jpg,patch_dm5/train_A_GT_IMG_135_128_6.npy,patch_lm5/train_A_GT_IMG_135_128_6.npy,21
patch_im6/train_A_IMG_135_128_7.jpg,patch_dm6/train_A_GT_IMG_135_128_7.npy,patch_lm6/train_A_GT_IMG_135_128_7.npy,24
patch_im7/train_A_IMG_135_128_8.jpg,patch_dm7/train_A_GT_IMG_135_128_8.npy,patch_lm7/train_A_GT_IMG_135_128_8.npy,4
patch_im0/train_A_IMG_240_128_1.jpg,patch_dm0/train_A_GT_IMG_240_128_1.npy,patch_lm0/train_A_GT_IMG_240_128_1.npy,60
patch_im1/train_A_IMG_240_128_2.jpg,patch_dm1/train_A_GT_IMG_240_128_2.npy,patch_lm1/train_A_GT_IMG_240_128_2.npy,92
patch_im2/train_A_IMG_240_128_3.jpg,patch_dm2/train_A_GT_IMG_240_128_3.npy,patch_lm2/train_A_GT_IMG_240_128_3.npy,43
patch_im3/train_A_IMG_240_128_4.jpg,patch_dm3/train_A_GT_IMG_240_128_4.npy,patch_lm3/train_A_GT_IMG_240_128_4.npy,8
patch_im4/train_A_IMG_240_128_5.jpg,patch_dm4/train_A_GT_IMG_240_128_5.npy,patch_lm4/train_A_GT_IMG_240_128_5.npy,9
