x_coord,y_cord
724,349
745,351
790,354
723,357
661,359
704,361
752,363
810,364
743,369
778,370
796,371
819,373
757,374
810,374
739,377
777,381
718,382
802,386
662,387
730,389
743,390
661,396
802,400
736,401
747,401
714,403
666,408
729,408
742,413
774,416
691,417
705,417
723,419
733,419
836,421
715,423
812,428
673,430
705,430
829,430
732,435
642,439
662,442
542,443
676,443
736,444
557,447
609,447
695,450
890,450
761,452
734,453
659,454
774,456
545,459
650,460
675,460
783,460
572,461
775,464
724,466
659,469
717,478
725,479
861,479
735,480
652,481
776,481
706,483
753,491
716,492
662,493
730,494
778,494
871,496
740,500
722,507
756,508
709,509
773,509
790,509
721,516
776,516
648,518
739,522
785,525
889,526
796,536
864,536
635,537
822,538
632,542
844,545
698,557
726,562
632,569
871,569
690,572
727,580
703,582
739,584
716,586
793,590
560,591
400,593
811,594
711,597
689,599
700,600
782,600
799,601
712,609
742,609
810,611
793,621
714,630
884,636
719,644
773,644
741,651
727,656
915,687
