x_coord,y_cord
732,318
863,318
879,321
806,323
824,324
857,335
761,343
644,348
794,351
934,355
774,356
741,357
946,357
757,359
987,360
999,360
851,361
1007,363
956,364
927,367
971,367
743,368
771,368
734,369
786,372
1009,374
736,378
747,378
660,381
891,382
721,385
902,386
915,387
791,395
873,395
815,398
727,400
911,400
665,401
922,401
747,403
864,403
713,404
898,404
736,405
789,405
765,408
878,408
698,414
705,414
926,414
912,415
671,416
730,417
897,417
688,423
703,425
714,426
765,426
756,427
745,428
674,430
653,431
774,433
665,434
924,435
762,437
693,438
743,438
543,442
721,442
569,443
600,446
928,446
670,447
754,447
1274,448
1018,449
646,453
958,454
738,455
912,455
931,455
762,456
774,458
877,460
1268,461
545,462
674,463
933,467
755,469
772,469
866,470
787,471
567,473
915,473
937,473
957,475
979,477
709,479
1008,480
754,481
915,481
739,485
965,485
649,487
974,488
721,489
969,491
941,493
758,494
989,495
870,503
1011,503
738,505
973,507
1001,508
900,509
922,509
944,509
960,509
988,509
688,515
661,516
675,516
713,517
635,518
601,520
616,521
708,530
871,531
883,532
626,534
833,534
647,539
845,540
642,549
739,549
602,551
694,556
561,561
737,569
554,573
543,581
694,581
530,587
868,589
692,596
618,598
669,606
659,608
606,611
600,621
558,623
703,624
587,626
790,626
607,643
709,668
1162,668
1201,673
1070,677
1086,679
1210,684
1177,692
1142,695
602,701
1175,709
635,715
