x_coord,y_cord
826,300
742,331
760,333
817,333
862,333
776,335
738,342
816,346
730,351
740,361
773,361
724,362
705,363
754,363
705,373
721,374
740,374
756,375
662,377
773,377
782,388
732,390
716,392
742,392
660,394
641,397
872,397
791,398
703,399
804,399
728,400
889,400
712,402
737,402
748,403
673,405
824,405
785,408
882,409
892,412
725,413
803,414
840,415
690,417
879,420
857,422
893,427
667,431
994,440
744,441
870,441
542,442
727,442
557,447
609,447
665,447
769,453
739,455
676,457
545,460
860,460
572,461
567,472
643,472
655,474
712,479
758,479
851,479
732,480
718,485
974,485
636,487
658,487
753,489
1009,489
823,492
640,497
868,498
723,499
741,500
781,500
799,501
858,502
758,505
809,505
656,508
822,508
878,508
788,509
821,514
795,518
552,522
563,523
785,524
668,533
798,534
729,536
820,538
754,539
641,542
740,547
694,551
636,557
869,573
545,585
922,588
676,597
788,602
616,603
698,604
837,612
941,615
595,623
798,625
875,636
734,648
617,650
913,690
