x_coord,y_cord
741,318
724,349
747,355
733,358
662,359
725,363
753,365
740,367
805,368
756,376
785,377
705,378
722,380
742,381
656,383
809,386
720,391
840,391
732,394
788,394
744,395
706,398
876,405
670,407
717,408
730,409
698,410
692,418
704,420
786,423
728,430
744,438
759,438
652,445
667,446
545,447
703,447
718,447
556,449
779,450
737,452
724,455
644,459
783,459
545,460
560,460
767,460
715,461
597,462
733,462
745,463
850,465
776,468
723,469
886,469
873,470
662,471
688,471
875,484
853,490
636,491
646,492
802,492
833,493
709,494
820,495
792,497
978,497
659,502
713,503
643,504
759,505
852,507
821,508
753,514
774,515
757,525
554,532
918,539
752,544
633,570
690,573
737,576
653,580
724,580
704,581
835,591
562,592
662,592
693,594
725,596
626,597
833,602
991,606
667,609
904,614
706,615
501,618
788,621
518,629
754,652
1196,668
1126,683
1219,690
