x_coord,y_cord
737,264
773,287
786,293
784,305
826,311
844,317
717,318
870,318
827,324
739,325
788,325
803,325
891,330
908,331
750,332
835,333
718,334
764,334
823,334
776,335
796,335
867,336
851,337
1152,338
839,342
1170,343
1142,345
799,346
1180,346
825,347
1228,347
855,348
867,348
763,349
773,351
710,352
722,352
835,352
812,353
953,354
787,355
660,356
877,356
974,356
798,357
737,358
864,358
889,358
853,359
725,363
756,363
836,363
949,364
710,365
810,367
771,369
885,369
741,370
866,370
799,372
852,372
723,373
757,373
706,374
785,376
865,377
841,378
880,378
923,378
726,380
739,380
810,382
902,384
732,390
849,390
928,391
743,392
787,394
815,395
903,396
709,397
658,399
792,403
720,404
829,406
854,406
903,408
939,409
795,410
670,411
816,411
839,411
806,413
860,415
651,417
906,418
665,419
736,422
882,422
803,423
867,423
676,424
769,425
834,425
711,426
746,428
812,428
652,429
726,430
759,431
735,432
953,432
664,434
701,436
870,436
673,437
864,437
650,439
717,439
836,443
638,445
762,445
693,447
730,447
651,449
779,452
545,459
598,460
732,460
572,462
710,463
796,470
729,480
761,481
709,485
978,485
788,489
753,490
769,493
735,497
738,505
824,508
724,509
570,517
595,519
539,520
553,520
583,520
638,520
627,522
559,524
591,529
660,530
736,533
621,534
876,534
630,535
698,537
748,537
589,543
735,548
619,554
650,555
670,557
697,557
887,561
732,571
617,573
763,576
625,591
739,591
711,592
565,595
789,595
909,597
634,600
682,601
953,602
660,603
637,613
810,636
1060,641
746,651
1205,705
1187,714
