x_coord,y_cord
793,301
810,301
775,309
755,320
731,322
794,328
720,334
736,335
643,338
801,342
1178,343
857,344
721,347
1141,347
1228,347
826,348
660,357
876,358
737,359
843,361
725,362
796,364
659,365
758,371
724,372
704,374
662,391
724,393
809,393
639,394
713,394
819,396
672,397
659,400
785,400
874,400
891,402
767,405
649,407
668,409
769,412
657,414
647,417
688,418
912,425
659,427
751,427
860,427
691,428
563,429
721,430
919,436
734,438
954,441
676,443
821,443
725,444
754,444
870,444
891,444
1275,444
1265,445
547,446
610,446
637,447
658,450
738,453
953,453
935,456
925,458
545,459
597,460
572,461
1014,461
650,463
675,464
933,469
953,469
778,470
650,473
729,473
796,473
632,475
868,475
767,477
749,478
862,480
705,481
752,486
716,487
796,487
785,488
708,492
729,495
763,495
784,495
795,496
638,498
738,505
719,509
761,509
789,509
804,510
664,514
655,515
554,520
737,520
772,521
793,521
545,522
641,532
708,533
729,534
694,537
832,545
649,560
759,560
693,575
621,576
713,578
631,584
561,592
185,594
715,599
384,600
757,601
629,602
819,602
675,603
409,608
660,609
843,609
890,611
820,613
786,617
271,628
755,652
731,662
