x_coord,y_cord
767,295
728,311
724,321
809,323
751,324
825,325
912,331
853,333
894,334
866,336
901,337
845,338
761,339
825,340
837,340
736,342
818,343
703,344
724,348
710,350
837,352
861,353
736,357
774,357
851,357
817,358
869,360
785,361
628,362
842,364
724,365
744,366
811,367
728,371
863,371
759,372
832,373
897,373
773,374
885,374
785,375
1021,375
738,377
813,380
843,383
892,385
730,387
822,389
808,390
705,395
639,396
674,396
853,397
654,398
664,399
712,399
777,402
940,403
734,404
700,406
721,406
742,406
831,409
650,411
733,412
858,412
933,412
688,413
665,414
721,416
786,416
708,417
772,419
901,421
756,422
803,422
743,424
822,424
768,425
718,426
975,428
563,429
664,431
736,432
570,434
727,439
764,439
541,440
640,440
706,441
746,441
601,443
657,444
977,444
569,445
547,446
610,446
673,446
558,447
584,448
634,448
908,448
997,450
757,453
691,454
743,455
653,456
708,456
612,459
545,460
572,461
598,461
735,461
644,470
731,471
655,474
751,475
647,482
706,482
737,485
639,489
787,495
730,496
711,497
748,497
765,498
721,500
653,503
631,504
739,504
733,508
773,508
755,509
788,509
801,509
667,514
729,514
718,515
702,516
610,519
785,520
739,521
632,522
732,524
669,525
695,527
714,532
664,533
901,537
750,538
650,540
697,543
735,549
754,552
724,557
693,558
753,563
815,568
628,573
697,573
723,573
735,578
621,580
676,583
704,584
763,585
693,589
630,590
736,590
792,597
682,599
637,600
697,600
711,600
800,602
738,604
658,610
839,612
714,617
881,625
827,636
1027,636
771,637
953,640
750,652
601,653
697,657
1143,661
684,663
981,664
925,673
844,686
803,688
931,689
918,697
909,699
652,717
