x_coord,y_cord
738,267
778,284
762,288
764,300
774,300
750,301
793,301
694,303
744,305
824,305
715,308
755,308
703,311
784,313
802,314
864,314
877,314
768,316
831,318
759,320
881,320
743,321
811,321
721,323
788,324
820,324
777,325
892,325
867,327
752,328
880,329
796,330
907,330
786,332
834,332
899,332
889,333
764,334
744,335
775,335
803,336
866,338
878,340
784,341
814,341
752,342
900,342
853,343
739,344
842,344
717,345
795,345
828,347
922,347
729,351
759,351
855,354
884,354
788,357
802,357
707,358
775,358
816,358
871,358
905,358
979,360
743,362
827,363
712,365
857,367
736,368
794,368
839,368
724,369
808,370
991,372
714,373
758,373
776,373
704,374
817,374
1010,374
747,375
829,375
913,376
797,379
659,380
722,382
702,387
884,387
810,388
830,388
855,390
755,393
795,393
909,393
924,395
718,396
701,397
711,402
650,403
891,404
725,406
760,406
668,407
920,409
715,410
855,411
662,415
695,417
748,417
761,418
672,419
706,420
931,421
653,422
661,426
830,428
669,430
702,432
729,433
753,433
763,433
903,433
773,435
925,435
659,439
646,442
676,442
713,443
733,446
757,446
721,448
851,448
750,450
842,450
967,450
985,452
655,456
738,456
762,457
560,460
545,461
572,462
597,462
770,462
675,465
872,465
726,466
655,470
756,470
689,471
969,471
774,473
744,475
872,478
847,482
652,484
789,488
756,492
735,494
631,495
970,496
802,499
710,503
783,503
731,505
739,506
760,506
809,509
994,509
1004,509
810,518
786,525
806,526
882,532
642,535
640,544
741,544
637,557
1158,560
738,562
659,570
743,572
626,575
713,575
193,580
559,584
738,584
565,594
689,598
734,602
368,613
1107,613
608,625
789,629
698,630
574,635
802,635
714,638
251,642
743,653
805,682
