x_coord,y_cord
750,302
763,318
725,358
705,362
740,363
754,366
733,370
847,370
722,371
741,373
793,373
757,378
818,379
738,381
790,386
729,388
658,392
739,393
719,397
708,398
820,399
744,403
727,405
668,409
699,410
742,412
652,413
966,414
710,415
760,416
688,417
925,417
771,422
832,424
873,425
784,426
864,427
888,429
652,433
664,433
735,433
745,435
766,437
840,437
1200,439
755,440
670,442
542,443
734,445
660,446
559,447
609,447
727,453
674,456
560,459
544,460
597,460
610,460
692,460
572,461
658,461
756,461
849,463
645,464
836,465
691,469
722,470
567,472
845,473
727,478
707,482
650,486
634,489
766,492
711,495
730,498
653,499
806,503
754,507
771,507
739,509
601,516
697,516
793,516
779,517
806,519
660,521
739,522
853,522
784,528
725,530
806,531
773,532
594,533
734,533
743,533
789,536
699,538
753,539
741,547
759,550
693,553
641,554
744,557
737,566
854,575
727,576
690,577
546,580
703,581
877,581
739,582
718,584
627,586
805,586
824,586
816,587
633,591
692,592
672,596
711,597
538,600
439,601
706,614
805,620
516,621
786,630
904,631
928,632
761,639
561,647
738,653
668,678
