x_coord,y_cord
784,301
718,319
693,324
750,327
741,339
741,347
754,362
771,374
782,374
757,376
733,380
736,389
794,391
673,394
817,396
753,397
710,399
659,401
794,403
730,405
744,405
652,408
668,409
792,418
669,420
647,423
828,430
728,431
748,435
665,437
720,444
734,445
749,445
836,445
667,447
688,447
773,447
786,451
735,456
767,458
545,460
724,469
649,474
738,474
773,479
726,481
709,484
756,484
656,486
747,488
727,493
710,495
753,496
738,498
654,503
710,509
718,509
732,509
755,509
777,509
680,514
697,514
721,516
648,518
777,518
940,518
741,521
661,524
698,524
716,524
604,530
615,530
721,530
776,532
628,534
707,534
839,534
731,535
796,537
698,539
594,540
638,540
876,541
626,543
582,546
614,547
650,547
720,547
741,549
692,553
890,558
696,559
624,568
1004,574
690,577
702,582
735,585
811,588
565,591
692,592
824,592
711,596
697,600
683,603
448,605
194,607
669,608
744,609
538,613
563,614
706,614
787,618
514,622
717,622
856,627
786,628
826,633
608,638
873,638
745,651
1099,658
728,714
