x_coord,y_cord
812,299
825,303
761,321
769,329
781,329
792,354
741,363
754,364
729,366
1008,370
739,374
782,376
758,378
771,378
815,378
720,380
806,380
745,381
732,382
793,384
813,389
753,394
716,395
729,395
785,395
826,395
740,396
795,397
660,402
804,402
717,405
788,405
820,406
653,407
703,407
829,408
667,409
810,410
724,414
760,415
693,416
787,417
823,417
858,417
798,418
676,420
811,421
764,422
773,423
718,427
708,430
795,430
741,431
862,432
690,433
757,434
773,434
861,436
648,437
544,441
744,441
669,442
639,443
610,446
691,446
769,446
557,447
878,448
736,453
676,457
559,459
545,460
572,461
878,464
676,465
658,466
691,469
648,471
725,475
633,476
869,478
663,480
747,480
927,487
633,488
752,489
713,491
643,492
662,493
638,504
805,506
731,507
660,508
696,514
760,514
672,516
659,517
587,520
584,532
793,532
776,534
747,542
737,545
768,545
871,563
740,582
639,583
930,588
560,589
383,590
693,596
732,602
683,603
752,603
714,609
840,610
600,613
804,619
714,630
794,633
626,644
721,675
