x_coord,y_cord
795,290
811,308
879,314
867,316
906,329
891,332
916,345
737,346
761,352
727,357
739,362
704,364
753,364
769,366
780,371
705,373
721,381
784,384
803,385
811,391
716,392
743,392
639,397
657,397
725,403
713,404
648,406
759,406
698,409
746,414
672,416
725,416
793,419
759,425
720,428
769,434
768,444
734,452
545,460
652,462
780,466
762,470
868,474
634,475
716,478
640,481
717,489
720,499
709,500
740,505
750,505
722,508
801,508
760,509
780,509
668,514
779,514
680,515
690,515
719,515
706,517
739,520
793,520
696,524
760,525
726,526
781,526
741,528
664,529
707,530
773,532
693,534
722,536
822,537
660,538
749,538
781,538
789,544
692,546
741,548
722,549
642,550
575,553
692,557
596,560
619,560
870,574
810,603
769,604
799,605
798,623
846,633
875,643
856,646
620,650
742,650
899,690
630,691
790,709
706,713
728,714
