x_coord,y_cord
794,309
646,332
738,335
753,337
643,342
712,346
724,346
864,347
757,348
841,348
738,354
644,355
775,358
808,359
725,363
757,363
798,366
703,367
742,368
773,370
852,370
716,371
762,374
658,375
792,377
705,379
718,383
763,383
851,389
786,390
807,392
711,393
668,405
728,406
660,410
709,410
672,413
731,416
719,417
665,418
756,418
675,420
688,421
737,427
708,428
760,428
718,430
647,433
562,434
750,436
698,437
668,439
711,439
725,444
764,444
571,445
594,445
541,446
550,446
581,446
612,446
1275,446
708,448
694,449
673,450
639,451
559,452
777,452
728,453
1241,453
599,454
658,454
584,455
766,458
701,459
740,463
559,464
610,464
781,464
545,465
572,465
597,465
674,465
646,468
658,469
756,473
568,476
543,477
576,478
643,478
708,479
725,480
652,481
719,485
637,486
664,487
650,492
729,492
986,492
554,495
664,497
635,498
998,500
610,501
648,503
553,505
739,505
597,506
718,507
786,519
761,523
813,526
1098,528
773,529
728,536
739,536
804,536
700,541
834,542
642,550
751,552
741,553
634,563
738,574
531,575
679,581
692,585
727,585
703,587
718,588
662,590
738,592
564,594
693,598
718,599
704,602
580,604
948,608
743,609
660,612
715,612
930,614
855,616
628,617
816,621
715,628
785,628
595,637
821,637
794,642
878,647
721,648
755,653
825,656
692,658
726,660
1079,663
