x_coord,y_cord
778,285
764,289
750,291
730,312
763,316
742,322
847,328
882,331
912,332
900,333
923,333
892,334
775,335
838,336
795,337
866,337
828,338
855,339
937,339
878,340
739,343
785,344
921,344
820,345
864,348
833,349
880,354
773,356
811,356
839,356
1043,357
782,359
848,359
826,361
724,362
799,365
745,370
756,371
846,371
825,373
730,374
797,375
776,376
705,377
861,378
877,378
788,380
744,381
825,383
844,387
876,388
749,394
801,394
790,395
833,396
815,402
664,403
732,405
845,406
651,408
766,411
869,417
672,418
751,418
891,420
767,427
664,439
645,444
728,444
776,453
734,459
764,459
545,460
710,461
745,461
773,465
624,466
675,467
791,473
776,475
731,476
959,476
711,479
726,487
708,491
796,491
709,497
735,507
735,523
754,539
601,541
741,553
645,554
734,570
622,572
703,583
208,595
734,600
602,602
696,603
726,609
890,612
598,614
297,620
788,629
830,646
644,649
686,654
746,654
607,676
940,690
677,691
748,706
783,707
772,712
820,715
